user+support,Systems Administrator Assistant,"Dayton, OH","ssist with network administration, PC repairs, upgrades installation, cabling, troubleshooting, set up and maintenance of routers and switches. Also work on copiers and voice over IP telephones.  ",sent descriptions
user+support,IT Intern,"Dayton, OH",PC Repair Troubleshooting Diagonostics and repair of Windows OS and Windows server software including configuration,sent descriptions
user+support,Help Desk,"Dayton, OH",CompTIA A+ Security+ Cisco CCNA MCSe,sent descriptions
software+development,Access Database Developer,"Dayton, OH","Working towards a computer science degree or equivalent.   •Knowledgeable with Microsoft Access, Visual Basic, and database structures and implementation.  •Experience with establishing and maintaining databases from conception to completion.    •Ability to successfully complete a project from concept to final product.   •Ability to capture requirements and create reports with minimal supervision.   •Strong written, oral communication and organizational skills.   •Strong attention to technical detail.   •Ability to work/collaborate as an integral part of an established team.   Resumes must demonstrate specialized experience that is typically in or related to the work of the position to be filled and also demonstrate particular knowledge, skills, and abilities, to successfully perform the duties of the position. All positions at Riverside Research are subject to background investigations. Employment is contingent upon successful completion of a background investigation including criminal history, identity check and, drug and alcohol testing.  ",sent descriptions
software+development,Computer Network Defense Monitoring Project,"Dayton, OH","Knowledgeable with Microsoft Access, Visual Basic, and database structures and implementation.  Experience with establishing and maintaining databases from conception to completion.    Ability to successfully complete a project from concept to final product.   Ability to capture requirements and create reports with minimal supervision.   Strong written, oral communication and organizational skills.   Strong attention to technical detail.   Ability to work/collaborate as an integral part of an established team.   Resumes must demonstrate specialized experience that is typically in or related to the work of the position to be filled and also demonstrate particular knowledge, skills, and abilities, to successfully perform the duties of the position. All positions at Riverside Research are subject to background investigations. Employment is contingent upon successful completion of a background investigation including criminal history, identity check and, drug and alcohol testing.  ",sent descriptions
user+support,Help Desk Intern,"Dayton, OH","Enrollment in two (2) or four (4) year college or university pursuing a degree in the field of  computer science,  information sciences, or a related field.  Familiarity of working with hardware/software, desktop operation systems, networks,  infrastructure, active directory and terminal servers.  Desire to work in a team oriented environment. Exceptional interpersonal, verbal, and written  communication skills. Must have strong customer relations skills.  Ability to work in a multi  task environment. Ability to prioritize and organize work schedule.  Strong PC troubleshooting skills and capable to resolve basic hardware, software, and  connectivity problems.  Quick learner ",sent descriptions
user+support,Information Technology Intern,"Dayton, OH","Untilizing a help desk software system, replacement of new PCs, VMWear server environment MS Visio  layer 2 and layer 3 devices, Cisco",sent descriptions
software+development,Programmer Analyst/Software Developer,"Dayton, OH","The candidate should have experience with Oracle and/or SQL Server databases, HTML, .NET and/or ColdFusion and a working knowledge of SQL coding. Knowledge of Business Objects, BI Publisher, Kronos and Oracle JD Edwards EnterpriseOne would be helpful.  The successful candidate will support the financial system from initial system design through enhancing applications to support end users requirements. Responsibilities include analysis, performance monitoring, and diagnosing user needs in determining functional and cross functional requirements. The individual must be a self-starter capable of managing multiple tasks at the same time while producing high quality results. Knowledge in thorough testing procedures to ensure that systems produce accurate output documents in a timely manner and that file updating meets agreed upon criteria",Technology First
user+support,PC Tech,"Dayton, OH","Montgomery County Data has a career opportunity for a qualified, highly self-motivated individual for full time employment as a PC Network Specialist. The successful candidate should have a working knowledge of the following technical duties: Evaluates, maintains and upgrades all computer software and hardware needs and making recommendations for growth, expansion, developments, improvements and purchases; Troubleshooting computer hardware and software issues, including peripheral devices such as printers; Network hardware installation such as cabling, network cards, switches (install only); Educating staff/clients as required and acting as a liaison with clients in scheduling work activities. Very clear and effective interpersonal and communication skills. Able to work without direct supervision. B.S. Degree in Computer Science or related field (certifications) or equivalent.",Technology First
dayton+analysis,IT BUSINESS ANALYST,"Dayton, OH","1. Analyzes business processes, evaluates alternative solutions and makes recommendations to business clients accordingly.  2. Liaises between IT and client areas, provides support and addresses any issues that arise. 3. Facilitates sessions with stakeholders to review business processes and determine IT requirements. 4. Manages and documents all business requirements for project work in conjunction with related Subject Matter Experts (SME). 5. Ensures all duties including, but not limited to, requirements, test cases and test plans, are completed in accordance with the “Speedway Project Process” document. 6. Collaborates with internal/external partners to ensure customer needs are met by reviewing requirements, status and associated issues.  7. Keeps abreast of technology, customer needs and industry related trends. 8. Develops and maintains process maps for business systems and makes plans to accommodate future work requests.  9. Advises business units and guides in the process of developing ideas and work requests. Captures potential benefits to assist with prioritization. 10. Provide technical expertise and recommendations in assessing new IT software projects and initiatives to support and enhance existing or new systems. 11. Completes other duties, including special projects, as assigned by management.",Technology First
user+support,IT APPLICATION SUPPORT ANALYST ,"Dayton, OH","Candidate must have at least one year of experience in a help desk or equivalent position. A background in programming is required - this may include college classes, or work experience. Development will be performed using C#, ASP.NET, ASP, SQL, VB, JavaScript.",Technology First
network+manager,IT SECURITY SPECIALIST - CISSP ,"Dayton, OH","Bachelor’s Degree or equivalent education and experience CISSP Certification and 5+ years experience Outstanding knowledge regarding system security measures Outstanding troubleshooting skills in the event a security breach is detected Excellent analytical skills and the ability to develop organizational strategies based on systems development life cycle Demonstrated expertise with Word, Excel, and other MS Office suite applications Excellent communication skills and the ability to research and resolve issues  Excellent understanding of intra-department functions and operations Excellent time management skills and ability to multi-task and track multiple efforts concurrently ",Technology First
data+analysis,ORACLE DBA ,"Dayton, OH","Bachelor’s Degree in a related field with a minimum of three (3) years related experience. 3+ years’ experience with Oracle 11G. 3+ years’ experience creating and maintaining database objects. 3+ years creating and maintaining Oracle FGA policies for monitoring and reporting resource use. 1+ years’ experience with Oracle Application Express. Good organizational, time management and problem-solving skills. Ability to work accurately and meet deadlines independently as well as part of a team. Proficiency in the use of Microsoft Office applications (Word, Excel, PowerPoint). Excellent written and oral communications skills.",Technology First
software+development,Software Developer,"Dayton, OH","BS/BA in computer science, computer engineering, math, or relevant coursework; or comparable work experience. Strong background in statistics, applied mathematics, data science and machine learning and the ability to drill down into each as required Proven ability to develop quantitative programs for statistical and regression analysis Ability to analyze, understand, and modify, refactor, and extend mathematically-oriented code base using PL/SQL, C#, and R programming languages Experience in one or more reporting and analytic technologies such Microsoft Report Builder (RDL XML report language), Excel, R statistical language, RStudio/Shiny, IBM SPSS, KNIME, PowerBI Experience with predictive modelling and/or optimization techniques Exposure or experience with one more of the following machine learning libraries: constraint-solver libraries, neural networks, evolutionary algorithms, expert system or rule based system development Working knowledge of Oracle, SQL, PL/SQL, stored procedures, and databases. Equivalent experience with T-SQL may be considered. 2+ years experience developing modern enterprise class web-based solutions using C#, ASP.NET, Angular, Bootstrap and HTML5. Strong background with functional and object oriented programming. Experience with web services and working with JSON and XML data payloads. Experience and desire to build web-based enterprise level solutions. Excellent analytical, problem-solving and communication skills. Ability to work independently and as part of a team.",Technology First
web+developer,Web Technology Administrator,"Dayton, OH","Bachelor’s degree in computer science, information technology, management information systems or related field and four (4) years of experience in working with web content management systems. Must have knowledge of HTML, CSS, JavaScript, and graphic design, including Adobe Creative Cloud programs. Knowledge or experience working with Civic Plus designed website(s) is a plus.",Technology First
data+analysis,BUSINESS INTELLIGENCE (BI) APPLICATION CONSULTANT ,"Dayton, OH","BA/BS degree in an Information Technology or Business-related field required Strong problem-solving skills and innovation Experience in collecting user requirements and ability to understand complex business needs.  Ability to translate customer needs into BI application solutions. 3+ years experience using 3rd party BI Tools to deliver BI solutions required (knowledge of SAP’s BOBJ BI Suite a plus) 5+ years of experience working with BI Solution Delivery teams required Knowledge of 3rd Party ETL tools a plus Experience/Familiarity with Teradata DBMS, Teradata SQL and Teradata utilities (BTEQ, MLOAD, TPT) preferred Experience working with off-shore developers a plus Ability to lead and work in groups  strong consultative and consensus building skills Experience with a Job Control and Scheduling application a plus.",Technology First
network+manager,Enterprise Data Architect,"Dayton, OH"," In depth knowledge of modeling methodologies and techniques. Experience with the ERwin data modeling tool. Strong SQL and analytical skills Hands on experience with relational DBMS, with Teradata experience desired. Good understanding of ETL processes and ETL best practices. Experience/ familiarity with Business Intelligence tools and Business Objects is desired. Familiarity with Hadoop, Aster and Big Data is a plus Excellent teaming and communication skills.  Strong consultative, facilitation and consensus building skills",Technology First
data+analysis,ETL Development Consultant,"Dayton, OH","BA/BS degree in an Information Technology or Business-related field required Strong problem-solving skills and innovation 3+ years experience using a 3rd party ETL programming tool required (knowledge of SAP Data Services a plus) 5+ years of experience working with BI Solution Delivery teams required Knowledge and/or experience with SAP BI tools (Webi, Explorer, Dashboards, Lumira, etc.) a plus Experience/Familiarity with Teradata DBMS, Teradata SQL and Teradata utilities (BTEQ, MLOAD, TPT) and Linux OS is preferred Experience working with off-shore developers a plus Ability to lead and work in groups – strong consultative and consensus building skills Experience with a Job Control and Scheduling application a plus.",Technology First
