,City Location,Company Name,Degree,Description,Job Title,Search Criteria,Source
79,"Cincinnati, OH",Cincinnati Children's Hospital,user+support,"
Supervisor, System Support. Ensure outstanding end-user support is provided, including ongoing monitoring of Service Level Agreements for incident management...",Analyst - Service Desk,user+support,Indeed
80,"Columbus, OH 43212",W.W. Williams Company,user+support,"
This position will work with other members of the IT Support Team to support W. Capture documentation for support issue resolution as needed....",IT Internship,user+support,Indeed
81,"Westerville, OH 43082",Exel,user+support,"
Active participation in User Acceptance testing. User training for hourly associates and supervisors. This role is responsible for hands-on implementation and...",Implementation Analyst II,user+support,Indeed
82,"Dayton, OH 45439",Dayton Metro Library,user+support,"
Proactively provides support to children, services to older adults, and other underserved populations through the Bookmobile, Lobby Stop, and Homebound programs...",Information Services Assistant (Technology Emphasis),user+support,Indeed
83,"Cincinnati, OH 45237 (Roselawn area)",Eurostampa North America,user+support,"
The IT Support Assistant will provide support in the areas of computer operations, user and desktop support (hardware and software), helpdesk, data management...",IT Support Assistant,user+support,Indeed
84,"Cincinnati, OH",TASI Group,user+support,"Our products are used in every industry, testing products that affect millions of users across the globe including:....",Mechanical Engineer,user+support,Indeed
85,"Cincinnati, OH","Novasyte, LLC",user+support,"This role has the potential for national and regional travel to support accounts. Provide clinical and professional expertise to end users including RN staff,...",Medical Device Educator/ RN Registered Nurse,user+support,Indeed
86,"Wooster, OH","JD Cotter Search, Inc.",user+support,The company does not accept applications from current nicotine or tobacco users. The Manufacturing Systems Engineer role supports our manufacturing facilities...,Manufacturing Systems Engineer - Packaging Exp. - Food Indus...,user+support,Indeed
87,"Dayton, OH",Reed Elsevier,user+support,"
Unregistered users and users with no or low activity; Support & Training Representative. 1-3 years of proven support or training experience....",Customer Success Support & Training Representative,user+support,Indeed
88,"Columbus, OH",FRANKLIN COUNTY RESIDENTIAL,user+support,"
InformationTechnology (IT) Support Specialist. LAN support, basic internalnetwork/server troubleshooting ,configure wireless settings/patching....",IT Support Specialist / Analyst,user+support,Indeed
89,"Columbus, OH 43213 (Whitehall area)",Safe Auto Insurance Company,user+support,"
Supports organization's goals and values. Organizational Support - Follows policies and procedures; Writes or revises user training manuals and procedures....",Desktop Support Technician,user+support,Indeed
90,"Mason, OH",nscglobal,user+support,"
Help Desk Support. Communicating with users to understand issues and known solutions. NSC Global is currently looking for Help Desk Support to join our growing...",Help Desk Support (Level 1) - Day Shift,user+support,Indeed
91,"Celina, OH 45822",Reynolds and Reynolds,user+support,"
As a Desktop Support Technician, you will be responsible for providing in-house technical PC hardware and software support for over 100 associates at our Celina...",Desktop Support Technician,user+support,Indeed
92,"Crestview Hills, KY 41017",ISOCNET,user+support,"
You will focus on providing front-line customer technology support and satisfaction. Responsibilities include identifying, documenting, and troubleshooting user...",Customer Service Representative - Tier 1 Support,user+support,Indeed
93,"Columbus, OH 43220 (Upper Arlington area)",UNITED MIDWEST SAVINGS BANK,user+support,"
Provide daily support, maintenance and troubleshooting on existing computers and servers. Provide both onsite and remote technical assistance to a group of...",IT Specialist,user+support,Indeed
94,"Miamisburg, OH 45342",Technicote,user+support,"
Ensure the IT infrastructure is successfully exploited to achieve continuous improvement and competitive advantage by identifying needs and, developing and...",IT Manager,user+support,Indeed
95,"Delaware, OH",Greif,user+support,"
Provides end-user support. They Systems Support Analyst will be responsible for the following:. 5-7 years experience in Windows based server/network support and...",System Support Analyst,user+support,Indeed
96,"Carmel, IN 46032",Zotec Partners,user+support,Responsible for building innovative learning solutions that enable us to develop talent and support our business....,Director of Education and Training,user+support,Indeed
97,"Louisville, KY 40205","Global Aviation Navigator, Inc.",user+support,"One year or more sales to the end user experience a must. They are some of the best sales people in the world … aircraft brokers, dealers and the numerous...",Media Sales Representative,user+support,Indeed
98,"Greenfield, IN","Modernfold, Inc",user+support,"Assist in deploying business applications to end users as required. Support, recommend, schedule, and perform ongoing business application improvements and...",Software Developer,user+support,Indeed
99,"Cincinnati, OH",IntelliPoint Technologies,user+support,"
\*Fast growing IT Firm Needing Help Desk Support Personnel\**. Local fast growing IT company searching for help desk support person with the skills and...",IT Help Desk Support,user+support,Indeed
100,"Columbus, OH",FlightSafety International,user+support,"
Member of the Learning Center’s Customer Support team; Type/keyboard 50 wpm (computer user with good typing/keyboarding skills), preferred....",Customer Support Representative Columbus,user+support,Indeed
101,"Miamisburg, OH 45342",Kettering Health Network,user+support,"
Support and implementation of the Par Excellence materials management system. Must have 1-2 years of customer service experience within user support/help...",SCM SYSTEMS SUPPORT II,user+support,Indeed
102,"Columbus, OH 43215 (Downtown area)","The Woda Group, Inc.",user+support,"
, is seeking a *Yardi Voyager Support Specialist*. \*The Woda Group does not hire tobacco users in this state. THE WODA GROUP, INC.*....",Yardi Voyager Support Specialist,user+support,Indeed
103,"Dayton, OH 45402 (Downtown area)",Epiphany Management Group,user+support,"
Provide technical support on software including MS Office, Web Browsers and other. The IT Technician will act as the first level responder for all technology...","Field Technician - Dayton, OH",user+support,Indeed
104,"Hilliard, OH",MetaSense Inc,user+support,"
Analyzes user needs as required; Investigates call escalations from the support staff; Experience in interpreting user requirements and development of business...",IT Software QA,user+support,Indeed
105,"Cincinnati, OH","Conexess Group, LLC",user+support,"
Teamcenter User Support (TCUA). Previous User Support experience with Teamcenter Unified preferred. Conexess is working with a global technology leader to fill...",Teamcenter User Support,user+support,Indeed
106,"Dayton, OH 45402 (Downtown area)",JYG Innovations,user+support,"
Document, design, develop, test, implement, and support web applications based on user requirements. Provide technical consultation to users and customers....","LIMS, RAD LIMS, and AF Radiation Dosimetry Support",user+support,Indeed
107,"Mason, OH",Aequor Technologies,user+support,"
Supports and maintains user account information including rights, security and systems groups. (Intermediate, 1 - 3 Years Experience)....",IT Support Specialist,user+support,Indeed
108,"Indianapolis, IN 46262",Ascension,user+support,"Basic Life Support certification achieved within 30 days of hire. To optimize your user experience, we recommend utilizing a personal computer with Window...","Patient Care Admin Technician / St Vincent Indpls,Peds Physi...",user+support,Indeed
109,"Findlay, OH",Cameron Craig Group,user+support,"Will work to help uncover and define business needs for the users. Create or modify existing processes, programs or reports per user specifications....",Manufacturing Business Analyst/Project Manager,user+support,Indeed
110,"Columbus, OH",Solomon Page,user+support,Coordinate and execute user acceptance testing and troubleshooting for new site functionality. Web Operations Analyst (6435139)....,Web Operations Analyst,user+support,Indeed
111,"Fairfield, OH",The Cincinnati Insurance Companies,user+support,"
Maintain and support databases. Manage pager and support rotation schedule. Set up and maintain application user permissions. IT- Systems Administrator II-IV....",IT- Systems Administrator II-IV,user+support,Indeed
112,"Columbus, OH 43221 (Upper Arlington area)",AutoDesSys,user+support,"
A power user of form·Z that can competently answer other users' questions via phone and/or e-mail....",Technical support engineer,user+support,Indeed
113,"Wpafb, OH 45433",Stellar Innovations,user+support,"
Assist new users in obtaining IT equipment. This position will perform systems support for military, civilian, and contractor employees, as well as perform...",Computer Technician,user+support,Indeed
114,"Grove City, OH",TOSOH GROUP AMERICA,user+support,"
Log all incoming support calls from users and attempt to provide resolution to basic user issues such as password changes, printing problems, and general ""How...",IT Help Desk Analyst,user+support,Indeed
115,"Lancaster, OH","Fairfield Homes, Inc.",user+support,"
Provides telephone, in-person and online support to end users. Wireless network support experience. Provides day to day technical support to all users, as the...",IT Support Technician,user+support,Indeed
116,"Dayton, OH 45432",UES,user+support,"
~ Apple Macintosh support experience a plus. ~ Manage user accounts in Microsoft Active Directory and Exchange....",IT Support Specialist,user+support,Indeed
117,"Dublin, OH",Adapted Tech,user+support,"
Advise user on appropriate action. This position is for a help desk support agent to provide our customers IT services and solutions....",IT Desk Support Agent,user+support,Indeed
118,"West Chester, OH",Barnes Group Inc.,user+support,"
Support all PC workstations throughout the organization and provide technical support to the user community....",Technical Support Specialist,user+support,Indeed
119,"Lima, OH 45805","CORA Health Services, Inc.",user+support,"
The position will involve assisting the user base with software and hardware issues, performing remote administration and other technical support....",Technical Support Specialist,user+support,Indeed
120,"Columbus, OH 43240",Modis,user+support,"This position will understand current systems and process/work flows that support each facility/brand, provide support and troubleshoot problems, work with...","Supply chain Systems Engineer Job Columbus, Ohio",user+support,Indeed
121,"Columbus, OH",Solomon Page,user+support,"Planning, developing and delivering project stakeholder (end user) related communication that is inclusive of all strategic and tactical user needs....",Change Management Consultant,user+support,Indeed
122,United States,Amazon Corporate LLC,user+support,"Support your design work using all available insights including customer feedback, quantitative data and usability findings....",Art Director- Relocation Opportunity,user+support,Indeed
123,"Columbus, OH",Nationwide Mutual Insurance Company,user+support,"
Collaborates with developers and/or end users to determine appropriate solutions. Performs moderately complex user research and validation, including usability...","Specialist, IT Analysis - Test Analyst",user+support,Indeed
124,"Dayton, OH 45430",Reynolds and Reynolds,user+support,"
As an entry level Business Analyst you will be responsible for providing user support for the various applications developed by the Business Systems Development...",Entry Level Business Analyst,user+support,Indeed
125,"Columbus, OH",JPMorgan Chase,user+support,"
Application Support Analyst. 2 years of Java development and support experience, or related experience. Work with AD and GTI for required infrastructure upgrade...",Application Support Analyst,user+support,Indeed
126,"Dayton, OH",LexisNexis,user+support,"
Unregistered users and users with no or low activity; Support & Training Representative. 1-3 years of proven support or training experience....",Customer Success Support & Training Representative,user+support,Indeed
127,"Dublin, OH 43017",OCLC,user+support,"
Provide support to users and distributors in Asia, and sales staff within the division. Provide technical and operational documentation to eliminate user...",User Support Specialist,user+support,Indeed
128,"Columbus, OH",North American On-Site,user+support,"
Educate customer users on proper installation of RFID Tags. This position is responsible for supporting Hilti’s software implementation team throughout the SaaS...",Software Implementation Support Specialist,user+support,Indeed
129,"Columbus, OH 43231 (Northland area)",Avnet,user+support,"
May provide quote preparation, order tracking, backlog processing, invoicing, returns, discrepancy resolution, customer credit issues, support to sales team and...",Customer Service Rep II,user+support,Indeed
130,"Dayton, OH",Technology & Information Solutions,user+support,"
Provide Desktop Support services to customers. Deploy hardware and software to fulfill user requests. As a Computer Support Technician, you will provide...",Computer Support Technician,user+support,Indeed
131,"Batesville, IN 47006",PCM,user+support,"
Provides support to end users, across multiple locations, on various hardware devices and software applications. Support Microsoft Office applications....",Desktop Support Tech,user+support,Indeed
132,"Louisville, KY 40222",Modis,user+support,"Produce technical and user documentation. Support, maintenance, and creation of SSRS reports. Provide timely and accurate resolution to support issues....",SQL Developer,user+support,Indeed
133,"La Grange, KY 40031",Noteworthy Creative Group,user+support,"Mac super user. Our environment promotes and supports flexibility, families, creativity, individuality and productivity....",Graphic and Web Designer,user+support,Indeed
134,"Cincinnati, OH 45202",XSell Resources,user+support,"Experience in working on projects with multiple Business Analysts • Ability to understand, conceptualize, and depict system solutions that span multiple systems...",IT Business Analyst,user+support,Indeed
135,"Columbus, OH",IT Service Desk,user+support,"
Provides first level support to minimize interruptions in computer systems and related equipment by answering and solving, when possible, incoming interactions...",IT Service Desk,user+support,Indeed
136,"Westerville, OH 43082",Cheryl's Cookies and Brownies,user+support,"
If necessary, liaise with third-party support and PC equipment vendors. Conduct research on desktop products in support of PC procurement and development...",Desktop Support Technician (Temporary),user+support,Indeed
137,"Dayton, OH",DCS Corp,user+support,"
Coordinate and oversee all functional User Acceptance Testing. Provide documentation and training on all new capabilities including development of user guides...",Software Analyst - Test,user+support,Indeed
138,"Columbus, OH",Heitmeyer Consulting,user+support,"
To provide an efficient and controlled support experience for business users. Service Desk Technical Support (70%)....",IT Service Desk Specialist,user+support,Indeed
139,"Erlanger, KY",Perfetti Van Melle USA,user+support,"
Create Active Directory computer and user accounts. Support mobile devices such as IPhones, Android and Air Cards....",Systems Admin / Desktop Support Intern,user+support,Indeed
140,"Dayton, OH",Reed Elsevier,user+support,"
Maintain system configuration parameters and user roles as needed. Upload and maintain courses, organizations, users, etc. within the LMS....",Learning Technology Analyst,user+support,Indeed
141,"Dayton, OH",LexisNexis,user+support,"
Maintain system configuration parameters and user roles as needed. Upload and maintain courses, organizations, users, etc. within the LMS....",Learning Technology Analyst,user+support,Indeed
142,"Dublin, OH","Fiserv, Inc.",user+support,"
Administer active directory, mainframe, and other user accounts as applicable 4. Provide Tier 1 technical support for mobile devices, including iphones,...",Senior Help Desk Analyst,user+support,Indeed
143,"Cincinnati, OH",Equipment Depot LTD,user+support,"
Analyst will deal with end user moves, hardware issues, user software additions and changes to the user technology environment....",Desktop Support,user+support,Indeed
144,"Cincinnati, OH 45245",Total Quality Logistics (TQL),user+support,Supports servers for related functions. Supports and maintains existing web applications or Windows applications or Windows Services troubleshooting issues as...,IT CAP - Software Development,user+support,Indeed
145,"Columbus, OH 43215",Aeri Solutions,user+support,Add user requirements to stories; And Manage the state of user stories from committed to ready for test processes.Work closely with the QA team to support...,Business Analyst,user+support,Indeed
146,"Mansfield, OH 44906",STARTEK,user+support,Strong computer user skills also required. Encourages collaboration and support of cross-functional business initiatives to ensure quick resolution of business...,Site Director,user+support,Indeed
147,"Richmond, IN 47374",MasterBrand Cabinets,user+support,"
Reports directly to the Business Support Business Support Manager. This non-supervisory position will provide front-line support to the Business Support Systems...",Customer Service Business Support Specialist,user+support,Indeed
148,"Mason, OH",Encore Technologies,user+support,"
Create Interactive Intelligence (ININ) User account and reset user password. Instruct and assist users in use of telephone equipment, software, and manuals....",Entry Level Interactive Intelligence Administrator,user+support,Indeed
149,"Westerville, OH",JPMorgan Chase,user+support,"
User Experience Researcher. A user-centric view is paramount for the role, while providing simple and innovative experiences for our internal users....",User Experience Researcher,user+support,Indeed
150,"Dayton, OH 45402 (Downtown area)",CareSource,user+support,"
Support regular data management processes and ad hoc user requests. Facilitate discussions between end users and data modelers as needed....",Data Analyst,user+support,Indeed
151,"Columbus, OH 43215 (Downtown area)",American Electric Power,user+support,"
The administrator will provide technical product support including responses to user questions, installation, testing, problem diagnosis, tracking, resolution,...",IT Systems Administrator Associate,user+support,Indeed
152,"Mason, OH",Aequor Technologies,user+support,"
Provides support to end users on a variety of issues. Responds to telephone calls, email and personnel requests for technical support. (2 - 4 years)....",Technical Support,user+support,Indeed
153,"Columbus, OH",PSI,user+support,"
Provide technical assistance to end users, Help Desk and fellow support analysts. Prior desktop support experience....",IT Field Service Technician,user+support,Indeed
154,"Columbus, OH 43215 (Downtown area)",Ohio Public Employees Retirement System,user+support,"
Provides technical support to customers through troubleshooting and analysis. Supports technical issues by remote desktop management tools or in person....",IT Service Desk Technician II,user+support,Indeed
155,"Dublin, OH 43016","Sarnova, Inc.",user+support,"
Lead support for technologies to support outside sales (MobilePoint, CRM, Tix, etc.). Provides technical tier 2 support....",Senior Support Analyst - Technical Support,user+support,Indeed
156,"Indianapolis, IN 46262",Ascension,user+support,Advanced Cardiac Life Support (ACLS) certification. Basic Life Support (BLS) certification obtained within thirty days of hire date to position....,RN - Staff / St Vincent Indianapolis Hospital / PCCU / PT We...,user+support,Indeed
157,United States,Amazon Corporate LLC,user+support,"Software development, including design, implementation, debugging, and support. EMR is a massively scaled distributed service that gives users fast and...","Software Development Engineer – Big Data, AWS Elastic MapRed...",user+support,Indeed
158,"Dayton, OH",Altamira,user+support,And Functional Support Teams (FSTs) - AFSOC and AFSPACE *. Construct an analytic approach for each Request for Information (RFI) assigned by the applicable...,Multiple-discipline Intelligence (Multi-INT) Analyst with Se...,user+support,Indeed
159,"Columbus, OH",NES Associates LLC,user+support,"
Provides senior-level Government support to plan, coordinate, and implement the organization’s Operations Coordination mission....",Operations Coordinator,user+support,Indeed
160,"Columbus, OH",Therapy Support Inc.,user+support,"
We are looking for compassionate individuals who want to make a difference in our patients' lives.Therapy Support Inc....",Delivery/Service Technician,user+support,Indeed
161,"Westerville, OH",Worldwide TechServices,user+support,"
Provide support to client identified VIPs. Responds to change management requests including installing new PC equipment, providing end-user desk side support...",Customer Service Engineer,user+support,Indeed
162,"Florence, KY 41042",Southern Air Inc.,user+support,"
Desktop Support and Maintenance. Identify new processes and technologies that can improve end user experience....",I.T. Systems Administrator,user+support,Indeed
163,"Wright-Patterson AFB, OH",Nika,user+support,"
Support Drawing Management:. Drawing shall be accessible at all times to other DMLSS-FM users and customers. Support Regulatory Compliance (RC) Joint Commission...",DMLSS Clerk,user+support,Indeed
164,"Cincinnati, OH",University of Cincinnati,user+support,"
Refers users to subject librarians when appropriate. Assists users with library service equipment, hardware and software....",Technology and Equipment Specialist - University of Cincinna...,user+support,Indeed
165,"Delaware, OH",Greif,user+support,"
The HRIS Technical Analyst provides production support for HRIS staff and end users. Supports time and attendance system (Kronos)....",HRIS Technical Analyst,user+support,Indeed
166,"Dayton, OH",Reed Elsevier,user+support,"
Provide 24x7 support for LexisNexis mainframe based online system. This role is a part of a team responsible for providing 24X7 support to LexisNexis production...",Systems Engineer I,user+support,Indeed
167,"Hilliard, OH 43026",Advanced Drainage Systems,user+support,"
This includes the management of open issues and user satisfaction. Manage problems, requests and user satisfaction in their given systems area....",IT Lead,user+support,Indeed
168,"Kokomo, IN 46903",Ascension,user+support,"Basic Life Support (BLS) certification obtained within thirty days of hire date to position. To optimize your user experience, we recommend utilizing a personal...",Medical Assistant / St Vincent Medical Group Primary Care /...,user+support,Indeed
169,United States,Mediu LLC,user+support,Work with Implementations and Technical Support teams to resolve issues in the field. Provide well written technical and user documentation of solutions and...,Software Engineer,user+support,Indeed
170,"Louisville, KY 40201",Lenmar Consulting,user+support,"Responsibilities also include participation in requirements analysis, technical designs, coding, unit testing, product test support, and deployment support....",ASP.Net Programmer,user+support,Indeed
171,"Worthington, OH",Siemens,user+support,"
Delivers technical support, coaching and direction to end users and field labor when applicable Associates degree in Electronics or other related field....",Service Specialist I - Building Automation - Worthington,user+support,Indeed
172,"Muncie, IN 47304",Accutech,user+support,"
Support Final Release Testing efforts. The Client Support Specialist works directly with clients to research and resolve support cases, provide end-user...",Client Support Specialist,user+support,Indeed
173,"Marysville, OH",KUMARAN SYSTEMS INC.,user+support,"
Ability to construct user guides and documentation. On Contract to support our *direct client (Leading Manufacturer)*....",.Net Technical Lead / Architect,user+support,Indeed
174,"Cincinnati, OH 45249",Vantiv,user+support,"
A Technology Engineer designs and supports the Vantiv File Transfer network. Support is provided to all lines of business and for internal and external...",Technology Support Engineer,user+support,Indeed
175,"Columbus, OH",PCM,user+support,"
2+ years working in an IT Support environment. Provide direct communication to affected users and companies on outages and maintenance activities....",NOC Technician - Columbus,user+support,Indeed
176,"Westerville, OH",JPMorgan Chase,user+support,"
User Experience Designer. A user-centric view is paramount for the role, while providing simple and innovative experiences for our internal users....",User Experience Designer,user+support,Indeed
177,"Mount Vernon, OH 43050",ECR Technology Group,user+support,"
Installing Microsoft Office Applications and training users. Windows Server 2008 or newer, including installation, repair and upgrades and support is preferred....",IT Systems Technician,user+support,Indeed
178,"Dublin, OH 43017",Fast Switch,user+support,"
Candidates will be providing telephone-based technical support services to employees, agents, and contractors, and providing technical support via phone to...",Help Desk Technician,user+support,Indeed
179,"Cincinnati, OH",dotloop,user+support,"
We are seeking a passionate Customer Support Representative with the drive to be successful. Manage a heavy flow of customer inquiries (via email, social media...",Customer Support Representative,user+support,Indeed
180,"Columbus, OH 43085",Apple,user+support,"Passion for education and ability to instruct in a ""hands-off"" manner, letting users learn by doing. You can be adept at recommending other in-store support...",US-Creative,user+support,Indeed
181,"Louisville, KY",Palace Gate,user+support,Experience developing functional and system requirements with users. Provide pre-sales support for MuleSoft prospects and for existing customers with growing...,MuleSoft Practice Lead,user+support,Indeed
182,"Mason, OH 45040",Luxottica Group,user+support,"Previous retail support strongly preferred. Collaborates with users to provide technical support, solicits ideas for system improvements and ensures adoption...",Administrator HR Systems (Kronos),user+support,Indeed
183,"Cincinnati, OH",GE Digital,user+support,"
Ensure a consistent, efficient and effective delivery of Shop Floor operational services, in line with GE Digital standards, in order to support the achievement...",Staff End User Support Engineer,user+support,Indeed
184,"Columbus, OH",Auxilio,user+support,"
As a Field Service Printer Support Specialist, you might:. Provide daily customer service and support of network and workstation printers....","Field Service Printer Support Specialist - Columbus, OH",user+support,Indeed
185,"Fairfield, OH 45014",Novitex,user+support,"
Locate, retrieve, maintain, organize an assist users; Support financial results by minimizing site waste and rework....",Administrative Underwriting Support,user+support,Indeed
186,"Columbus, OH",Realogy Corporate,user+support,"
Outstanding customer service skills including field support. Communicate IT initiatives and issues to users across the organization as and when appropriate....","IT Manager, Ohio",user+support,Indeed
187,"Columbus, OH 43220 (Upper Arlington area)",eInformatics,user+support,"
Demonstrate customer service skills with responsiveness to client requests for support assistance, whether troubleshooting, problem solving, report development,...",Technical Services I,user+support,Indeed
188,"Monroe, OH 45050",Dealer Specialties / Dominion Dealer Solutions,user+support,"
System Support I/ Tech Support*. Provide daily support to users in all systems, hardware, and software related issues....",System Support I/ Tech Support (Entry Level),user+support,Indeed
189,"Washington Court House, OH 43160",Sugar Creek Packing Co.,user+support,"
Provides support to end users by responding to telephone calls, email and personnel requests for technical support....",Information Technology - Help Desk Tier 3,user+support,Indeed
190,"Miamisburg, OH 45342",Kettering Health Network,user+support,"
To affected users, creating educational documentation and providing at the elbow support to end users if necessary. Off hours support....",EPIC ANALYST II,user+support,Indeed
191,"Columbus, OH",JPMorgan Chase,user+support,"
We are actively seeking a Tech Ops Analyst to support operations and development teams responsible for individual users as well as application monitoring, job...",Tech Ops Analyst,user+support,Indeed
192,"Lima, OH","The Woda Group, Inc.",user+support,"Support the WCI environment that fosters teamwork and customer excellence. \*The Woda Group does not hire tobacco users (smoking, chew, etc.)....",Construction Superintendent,user+support,Indeed
193,"Cincinnati, OH",Job Juncture,user+support,"ERP Business Systems Analyst for a rapidly growing technology innovator with a client base of over 10,000 corporate users globally including more than 300...",Epicor ERP Business Systems Analyst,user+support,Indeed
194,"Columbus, OH 43287",Idealforce,user+support,Experience developing Quality-of-service (non-functional) requirements - requirements that do not perform a specific function for the business requirement but...,Business Analyst(44125),user+support,Indeed
195,"North Vernon, IN",ASPIN,user+support,"
Support community health events through planning, marketing, and logistics. Provide information dissemination and enrollment support for Marketplace and Indiana...",Health Navigator/Community Health Worker,user+support,Indeed
196,"Cincinnati, OH",University of Cincinnati,user+support,"
The Assistive Technology Support position will:. This team is also providing support for UC’s Electronic Accessibility Initiative, a university-wide, multi...",Assistive Technology Support Specialist - Disability Service...,user+support,Indeed
197,"Columbus, OH","Digital Management, Inc.",user+support,"
Provide troubleshooting and technical support services for server infrastructure infrastructures. Analyzes user requirements and statistics to identify trends...",Junior Unix Administrator,user+support,Indeed
198,"Cincinnati, OH 45212 (Pleasant Ridge area)",Encore Technologies,user+support,"
Perform basic user creation and maintenance tasks. Provide support of computers, applications, peripherals, networks and servers....",Helpdesk Analyst,user+support,Indeed
199,"Dayton, OH 45409",NCR,user+support,"
Document incidents and requests in the current Retalix CRM system according to support team procedures. Every individual at NCR has an ongoing responsibility to...",Technical Support Analyst,user+support,Indeed
200,"Cincinnati, OH",Recker Consulting,user+support,"
Perform basic user creation and maintenance tasks. Provide support of computers, applications, peripherals, networks and servers....",Service Support Technician,user+support,Indeed
201,"Cincinnati, OH",ERP Suites,user+support,"
Advise user on appropriate action. Diagnose and resolve technical software and end user related issues. It is essential for the Help Desk Technician to deliver...",Help Desk Technician,user+support,Indeed
